SONIA,Date
0.9405,2022-05-11
0.9397,2022-05-10
0.9403,2022-05-09
0.9409,2022-05-06
0.9382,2022-05-05
0.691,2022-05-04
0.6906,2022-05-03
0.6907,2022-04-29
0.6896,2022-04-28
0.6902,2022-04-27
0.6903,2022-04-26
0.6899,2022-04-25
0.6905,2022-04-22
0.6904,2022-04-21
0.6904,2022-04-20
0.6902,2022-04-19
0.6908,2022-04-14
0.6905,2022-04-13
0.6906,2022-04-12
0.6902,2022-04-11
0.6912,2022-04-08
0.6914,2022-04-07
0.6919,2022-04-06
0.6915,2022-04-05
0.6913,2022-04-04
0.6906,2022-04-01
0.6896,2022-03-31
0.69,2022-03-30
0.6907,2022-03-29
0.6901,2022-03-28
0.6905,2022-03-25
0.6907,2022-03-24
0.6908,2022-03-23
0.6906,2022-03-22
0.6912,2022-03-21
0.6913,2022-03-18
0.6886,2022-03-17
0.445,2022-03-16
0.445,2022-03-15
0.4445,2022-03-14
0.4449,2022-03-11
0.4451,2022-03-10
0.4444,2022-03-09
0.4444,2022-03-08
0.4448,2022-03-07
0.445,2022-03-04
0.4452,2022-03-03
0.445,2022-03-02
0.4451,2022-03-01
0.4451,2022-02-28
0.4449,2022-02-25
0.4451,2022-02-24
0.4451,2022-02-23
0.4449,2022-02-22
0.4442,2022-02-21
0.4453,2022-02-18
0.4449,2022-02-17
0.4449,2022-02-16
0.445,2022-02-15
0.4448,2022-02-14
0.4452,2022-02-11
0.4455,2022-02-10
0.445,2022-02-09
0.4448,2022-02-08
0.4457,2022-02-07
0.4453,2022-02-04
0.4403,2022-02-03
0.196,2022-02-02
0.1957,2022-02-01
0.1989,2022-01-31
0.1957,2022-01-28
0.1957,2022-01-27
0.1956,2022-01-26
0.1954,2022-01-25
0.1955,2022-01-24
0.1967,2022-01-21
0.1966,2022-01-20
0.1964,2022-01-19
0.1959,2022-01-18
0.196,2022-01-17
0.1959,2022-01-14
0.1959,2022-01-13
0.1958,2022-01-12
0.1952,2022-01-11
0.1948,2022-01-10
0.195,2022-01-07
0.1947,2022-01-06
0.1948,2022-01-05
0.1947,2022-01-04
0.1906,2021-12-31
0.1922,2021-12-30
0.1922,2021-12-29
0.1929,2021-12-24
0.1928,2021-12-23
0.1926,2021-12-22
0.1932,2021-12-21
0.1938,2021-12-20
0.1937,2021-12-17
0.1622,2021-12-16
0.045,2021-12-15
0.0453,2021-12-14
0.0453,2021-12-13
0.0451,2021-12-10
0.0458,2021-12-09
0.0457,2021-12-08
0.0453,2021-12-07
0.0456,2021-12-06
0.0457,2021-12-03
0.0457,2021-12-02
0.0459,2021-12-01
0.0455,2021-11-30
0.0464,2021-11-29
0.0461,2021-11-26
0.0465,2021-11-25
0.0462,2021-11-24
0.0466,2021-11-23
0.0468,2021-11-22
0.0464,2021-11-19
0.0467,2021-11-18
0.0469,2021-11-17
0.0465,2021-11-16
0.0473,2021-11-15
0.047,2021-11-12
0.0466,2021-11-11
0.0465,2021-11-10
0.0468,2021-11-09
0.0467,2021-11-08
0.0468,2021-11-05
0.0483,2021-11-04
0.0481,2021-11-03
0.048,2021-11-02
0.0477,2021-11-01
0.0503,2021-10-29
0.0481,2021-10-28
0.0485,2021-10-27
0.0498,2021-10-26
0.0498,2021-10-25
0.05,2021-10-22
0.05,2021-10-21
0.0501,2021-10-20
0.0499,2021-10-19
0.0504,2021-10-18
0.0502,2021-10-15
0.0508,2021-10-14
0.0508,2021-10-13
0.0514,2021-10-12
0.0505,2021-10-11
0.0507,2021-10-08
0.0512,2021-10-07
0.0513,2021-10-06
0.0505,2021-10-05
0.0503,2021-10-04
0.05,2021-10-01
0.0479,2021-09-30
0.0493,2021-09-29
0.0495,2021-09-28
0.0496,2021-09-27
0.05,2021-09-24
0.049,2021-09-23
0.0499,2021-09-22
0.05,2021-09-21
0.05,2021-09-20
0.0502,2021-09-17
0.0501,2021-09-16
0.0499,2021-09-15
0.0499,2021-09-14
0.0506,2021-09-13
0.0509,2021-09-10
0.0503,2021-09-09
0.0505,2021-09-08
0.0507,2021-09-07
0.0503,2021-09-06
0.0499,2021-09-03
0.0501,2021-09-02
0.0503,2021-09-01
0.0502,2021-08-31
0.0507,2021-08-27
0.0505,2021-08-26
0.0504,2021-08-25
0.0505,2021-08-24
0.0505,2021-08-23
0.0508,2021-08-20
0.051,2021-08-19
0.0505,2021-08-18
0.0503,2021-08-17
0.0505,2021-08-16
0.0504,2021-08-13
0.0504,2021-08-12
0.0503,2021-08-11
0.0501,2021-08-10
0.0498,2021-08-09
0.0503,2021-08-06
0.0503,2021-08-05
0.0504,2021-08-04
0.0503,2021-08-03
0.0504,2021-08-02
0.0506,2021-07-30
0.0504,2021-07-29
0.0507,2021-07-28
0.0507,2021-07-27
0.0502,2021-07-26
0.0507,2021-07-23
0.0507,2021-07-22
0.0507,2021-07-21
0.051,2021-07-20
0.0508,2021-07-19
0.0506,2021-07-16
0.0508,2021-07-15
0.0508,2021-07-14
0.0507,2021-07-13
0.0503,2021-07-12
0.0504,2021-07-09
0.0508,2021-07-08
0.0506,2021-07-07
0.0502,2021-07-06
0.0504,2021-07-05
0.0505,2021-07-02
0.0496,2021-07-01
