Date,USDC,DAI,USDT
2020-02-29 23:59:59,0.03554803948093,0.08075303821056,0.02600956602101
2020-03-01 23:59:59,0.03638079741238,0.08079765559676,0.02600956602101
2020-03-02 23:59:59,0.04082949420035,0.08073115364553,0.02600956602101
2020-03-03 23:59:59,0.0401221694058,0.08071904069742,0.02600956602101
2020-03-04 23:59:59,0.04122973586202,0.08070972873328,0.02600956602101
2020-03-05 23:59:59,0.04642418884033,0.0807053450383,0.02600956602101
2020-03-06 23:59:59,0.02921113183395,0.08070609531352,0.02600956602101
2020-03-07 23:59:59,0.02954220750398,0.08070868007421,0.02600956602101
2020-03-08 23:59:59,0.03355211939333,0.08071474797456,0.02600956602101
2020-03-09 23:59:59,0.04190818265661,0.08084623765867,0.02600956602101
2020-03-10 23:59:59,0.02655116044988,0.08080573094226,0.02600956602101
2020-03-11 23:59:59,0.0222120996314,0.0809473189639,0.02600956602101
2020-03-12 23:59:59,0.01075351665644,0.20853579953703,0.02600956602101
2020-03-13 23:59:59,0.01231414545836,0.10035465712943,0.02600956602101
2020-03-14 23:59:59,0.01049093020086,0.10343201158618,0.02600956602101
2020-03-15 23:59:59,0.00855201289789,0.04080179106126,0.02600956602101
2020-03-16 23:59:59,0.00435699450065,0.1174543102091,0.02600956602101
2020-03-17 23:59:59,0.00327773115257,0.07511736149967,0.02600956602101
2020-03-18 23:59:59,0.00336380528935,0.04645465837626,0.02600956602101
2020-03-19 23:59:59,0.00399528065253,0.04234450955945,0.02600956602101
2020-03-20 23:59:59,0.00414703218483,0.03844832166131,0.02600956602101
2020-03-21 23:59:59,0.00426870814554,0.03393183702312,0.02600956602101
2020-03-22 23:59:59,0.0040050755902,0.03376879595001,0.02600956602101
2020-03-23 23:59:59,0.00461493803425,0.03017399880938,0.02600956602101
2020-03-24 23:59:59,0.00446766821866,0.03061832928078,0.02600956602101
2020-03-25 23:59:59,0.00464207940189,0.03016447693811,0.02600956602101
2020-03-26 23:59:59,0.00439330528628,0.02319485096232,0.02600956602101
2020-03-27 23:59:59,0.00457109699614,0.02352028109639,0.02600956602101
2020-03-28 23:59:59,0.00438079385059,0.02362710795816,0.02600956602101
2020-03-29 23:59:59,0.00434694265396,0.02368107505195,0.02600956602101
2020-03-30 23:59:59,0.00435168384579,0.02373748050629,0.02600956602101
2020-03-31 23:59:59,0.00460625060339,0.02291048039396,0.02600956602101
2020-04-01 23:59:59,0.00444159587365,0.02233854452258,0.02600956602101
2020-04-02 23:59:59,0.00445417315054,0.0222700869508,0.02600956602101
2020-04-03 23:59:59,0.00464437141068,0.02144457020947,0.02600956602101
2020-04-04 23:59:59,0.00472741039535,0.02076892812424,0.02600956602101
2020-04-05 23:59:59,0.0047236291196,0.02038923157307,0.02600956602101
2020-04-06 23:59:59,0.00535259906666,0.00171523856642,0.02600956602101
2020-04-07 23:59:59,0.00410339671244,0.00323285077109,0.02600956602101
2020-04-08 23:59:59,0.00408504414427,0.00361226514097,0.02600956602101
2020-04-09 23:59:59,0.00407453755142,0.00375816835225,0.02600956602101
2020-04-10 23:59:59,0.00412396379858,0.00403470518668,0.02600956602101
2020-04-11 23:59:59,0.00399998191185,0.00421969131256,0.02600956602101
2020-04-12 23:59:59,0.00409281226725,0.00419762456081,0.02600956602101
2020-04-13 23:59:59,0.00391220943188,0.00422228742783,0.02600956602101
2020-04-14 23:59:59,0.00389103725789,0.00437929547104,0.02600956602101
2020-04-15 23:59:59,0.00414657742339,0.00450328270119,0.02600956602101
2020-04-16 23:59:59,0.00402273535797,0.0044681494124,0.02600956602101
2020-04-17 23:59:59,0.00404308002188,0.0046590240572,0.02600956602101
2020-04-18 23:59:59,0.00431538596264,0.03378799096658,0.02600956602101
2020-04-19 23:59:59,0.00426430586816,0.0265237478493,0.02600956602101
2020-04-20 23:59:59,0.00443521697882,0.12642120094003,0.02600956602101
2020-04-21 23:59:59,0.00450909741648,0.05504350297162,0.02600956602101
2020-04-22 23:59:59,0.00490898390118,0.03221460325472,0.02600956602101
2020-04-23 23:59:59,0.00519544676497,0.02548526931557,0.02600956602101
2020-04-24 23:59:59,0.00522895745258,0.01823243615798,0.02600956602101
2020-04-25 23:59:59,0.00542694249381,0.02430263931455,0.02600956602101
2020-04-26 23:59:59,0.00533154191131,0.01470110376857,0.02600956602101
2020-04-27 23:59:59,0.00517835275622,0.02152273908667,0.02600956602101
2020-04-28 23:59:59,0.00519235528212,0.02037050460075,0.02600956602101
2020-04-29 23:59:59,0.0058314764325,0.0106359650099,0.02600956602101
2020-04-30 23:59:59,0.00589723722154,0.01482752914919,0.02600956602101
2020-05-01 23:59:59,0.00574769897204,0.03973412390451,0.02600956602101
2020-05-02 23:59:59,0.00923715512085,0.00801212702996,0.02600956602101
2020-05-03 23:59:59,0.00965809855314,0.00787617885392,0.02600956602101
2020-05-04 23:59:59,0.01042977726315,0.00757882119808,0.02600956602101
2020-05-05 23:59:59,0.01188608424705,0.00690650892697,0.01480512794915
2020-05-06 23:59:59,0.01129149532239,0.00767583100043,0.03045733833691
2020-05-07 23:59:59,0.01249993464544,0.0077683825946,0.01894989285025
2020-05-08 23:59:59,0.01157900925213,0.0078995478522,0.00623515463254
2020-05-09 23:59:59,0.01145817226355,0.00789092558547,0.0143137455152
2020-05-10 23:59:59,0.00863869101979,0.00797606433594,0.0172559864526
2020-05-11 23:59:59,0.0087991775202,0.0073349023089,0.02841701954199
2020-05-12 23:59:59,0.0087878481722,0.00814322671532,0.0164612363051
2020-05-13 23:59:59,0.007431154942,0.00829598086538,0.01567398318913
